Exercise_Name,Difficulty_Level,Target_Area,Calories_Burned_Per_Minute,Best_For
Cat-Cow Stretch,Beginner,Lower Back,3,Desk Worker
Seated Spinal Twist,Beginner,Core,2,Desk Worker
Standing Hip Flexor Stretch,Beginner,Hips,3,Desk Worker
Neck Rolls,Beginner,Neck,1.5,Desk Worker
Wrist and Forearm Stretch,Beginner,Wrists,1.5,Desk Worker
Shoulder Blade Squeeze,Beginner,Upper Back,2,Desk Worker
Child's Pose,Beginner,Lower Back,2,Flexibility
Standing Forward Fold,Beginner,Hamstrings,2.5,Flexibility
Chair Squats,Intermediate,Legs,5,Weight Loss
Plank Hold,Intermediate,Core,6,Core Strength
Glute Bridges,Intermediate,Glutes,5,Weight Loss
Walking Lunges,Intermediate,Legs,6,Weight Loss
Bird Dog,Intermediate,Core,4,Core Strength
Cobra Pose,Intermediate,Lower Back,3,Flexibility
Downward Dog,Intermediate,Full Body,4,Flexibility
Desk Push-ups,Intermediate,Upper Body,5,Weight Loss
Standing Side Bend,Beginner,Obliques,2,Desk Worker
Ankle Circles,Beginner,Ankles,1,Desk Worker
